dateTime,sedentary_minutes,very_active_minutes,moderately_active_minutes,lightly_active_minutes,Total_Steps,Total_Calories,Total_Distance,overall_score,resting_heart_rate,day,is_weekend,success_steps,deep,wake,light,rem,restless,awake,asleep
2020-06-09,746.0,38.0,26.0,161.0,8793.0,2202.7499999999964,587280.0,84.0,67.14453315734863,Tuesday,N,N,73,50,238,108,,,
2020-06-10,791.0,6.0,14.0,181.0,3405.0,2041.0999999999963,228430.0,79.0,68.2968864440918,Wednesday,N,N,90,62,191,105,,,
2020-06-20,663.0,0.0,0.0,272.0,6862.0,2102.5999999999867,459950.0,87.0,68.13088512420654,Saturday,Y,N,95,61,226,123,,,
2020-06-21,751.0,0.0,0.0,76.0,1213.0,1610.1000000000015,81280.0,88.0,67.15695190429688,Sunday,Y,N,100,62,239,109,,,
2020-06-27,678.0,0.0,0.0,237.0,5702.0,2007.4999999999843,382210.0,86.0,68.95558738708496,Saturday,Y,N,99,75,206,145,,,
2020-06-28,722.0,13.0,11.0,175.0,5739.0,2046.8899999999935,384910.0,91.0,68.99421787261963,Sunday,Y,N,117,50,226,126,,,
2020-06-29,849.0,35.0,9.0,185.0,5118.0,2188.8799999999815,324580.0,77.0,70.62868213653564,Monday,N,N,75,28,170,89,,,
2020-06-30,925.0,0.0,0.0,137.0,2694.0,1717.1999999999923,176400.0,79.0,69.88156127929688,Tuesday,N,N,87,45,155,91,,,
2020-07-01,757.0,44.0,6.0,182.0,6177.0,2218.659999999984,391220.0,82.0,67.53514194488525,Wednesday,N,N,77,50,248,76,,,
2020-07-02,935.0,0.0,0.0,88.0,1599.0,1622.099999999994,107100.0,81.0,67.20690631866455,Thursday,N,N,69,39,222,87,,,
2020-07-03,793.0,44.0,8.0,178.0,7143.0,2245.8299999999836,464320.0,85.0,64.85619449615479,Friday,N,N,95,36,209,77,,,
2020-07-04,610.0,4.0,25.0,277.0,9308.0,2247.4999999999923,624320.0,83.0,0.0,Saturday,Y,N,65,72,290,97,,,
2020-07-06,796.0,13.0,28.0,151.0,4635.0,2007.889999999981,292940.0,83.0,65.09176445007324,Monday,N,N,90,49,190,123,,,
2020-07-06,796.0,13.0,28.0,151.0,4635.0,2007.889999999981,292940.0,83.0,65.09176445007324,Monday,N,N,90,49,190,123,,,
2020-07-09,857.0,0.0,0.0,139.0,2686.0,1798.4999999999868,180030.0,82.0,64.78652954101562,Thursday,N,N,117,38,158,131,,,
2020-07-10,608.0,38.0,20.0,332.0,12902.0,2686.879999999985,849710.0,84.0,65.83366012573242,Friday,N,Y,69,58,226,89,,,
2020-07-11,947.0,0.0,0.0,56.0,913.0,1603.500000000001,61180.0,78.0,65.34510040283203,Saturday,Y,N,92,58,197,90,,,
2020-07-13,827.0,27.0,15.0,183.0,6898.0,2168.9899999999866,444700.0,75.0,64.32562160491943,Monday,N,N,40,59,186,103,,,
2020-07-14,917.0,0.0,0.0,146.0,3697.0,1793.9999999999907,247840.0,73.0,66.59966087341309,Tuesday,N,N,73,28,221,55,,,
2020-07-15,749.0,47.0,8.0,210.0,7061.0,2394.1899999999896,457830.0,83.0,64.50772094726562,Wednesday,N,N,70,50,214,92,,,
2020-07-16,924.0,0.0,0.0,134.0,3369.0,1782.299999999989,225840.0,73.0,64.26000595092773,Thursday,N,N,78,48,166,90,,,
2020-07-17,742.0,47.0,15.0,219.0,9189.0,2489.85999999999,598410.0,83.0,63.07967567443848,Friday,N,N,69,45,221,82,,,
2020-07-19,844.0,6.0,7.0,136.0,2292.0,1852.6999999999948,153600.0,79.0,66.32198429107666,Sunday,Y,N,94,54,206,93,,,
2020-07-20,790.0,10.0,25.0,167.0,4644.0,1982.6999999999848,292850.0,81.0,66.186279296875,Monday,N,N,98,42,205,103,,,
2020-07-21,868.0,0.0,0.0,107.0,2193.0,1681.3999999999996,146930.0,78.0,66.03536796569824,Tuesday,N,N,92,53,241,79,,,
2020-07-23,907.0,0.0,0.0,151.0,3719.0,1816.589999999996,249370.0,76.0,66.14785957336426,Thursday,N,N,74,34,179,95,,,
2020-07-24,788.0,31.0,39.0,109.0,4777.0,2086.060000000001,292920.0,88.0,65.5242862701416,Friday,N,N,89,40,235,109,,,
2020-07-26,733.0,0.0,0.0,192.0,3826.0,1902.9999999999914,256480.0,82.0,67.646728515625,Sunday,Y,N,80,79,215,141,,,
2020-07-27,821.0,8.0,18.0,215.0,6491.0,2143.789999999989,425490.0,76.0,67.80204200744629,Monday,N,N,72,50,176,80,,,
2020-07-29,311.0,48.0,8.0,76.0,4238.0,1448.4199999999958,262300.0,81.0,67.24455547332764,Wednesday,N,N,62,47,194,101,,,
2020-03-08,671.0,0.0,0.0,233.0,4282.0,1943.7999999999895,286900.0,85.0,67.46272850036621,Sunday,Y,N,68,69,304,95,,,
2020-03-08,671.0,0.0,0.0,233.0,4282.0,1943.7999999999895,286900.0,85.0,67.46272850036621,Sunday,Y,N,68,69,304,95,,,
2020-03-09,773.0,24.0,18.0,199.0,6924.0,2202.5799999999836,447670.0,79.0,67.64748573303223,Monday,N,N,83,62,213,68,,,
2020-03-15,819.0,0.0,0.0,6.0,0.0,1456.6000000000004,0.0,90.0,0.0,Sunday,Y,N,153,75,231,156,,,
2020-03-17,772.0,0.0,0.0,183.0,4243.0,1834.099999999995,278450.0,83.0,65.05899143218994,Tuesday,N,N,75,71,214,125,,,
2020-03-18,806.0,0.0,0.0,161.0,4508.0,1862.3999999999887,302340.0,83.0,65.048171043396,Wednesday,N,N,94,67,221,91,,,
2020-03-19,885.0,0.0,0.0,106.0,1886.0,1653.6999999999964,126340.0,86.0,64.66991138458252,Thursday,N,N,103,41,188,117,,,
2020-03-20,765.0,0.0,0.0,216.0,5533.0,1929.4999999999916,370980.0,78.0,64.54562568664551,Friday,N,N,64,65,222,108,,,
2020-04-02,914.0,0.0,7.0,141.0,2388.0,1798.6999999999907,155740.0,55.0,66.60849666595459,Thursday,N,N,32,85,212,49,,,
2020-04-03,691.0,38.0,17.0,166.0,6073.0,2153.4499999999966,403730.0,84.0,65.36835289001465,Friday,N,N,109,92,217,110,,,
2020-04-04,782.0,9.0,8.0,78.0,1853.0,1705.3799999999999,116900.0,75.0,66.80157470703125,Saturday,Y,N,67,84,351,61,,,
2020-04-08,874.0,0.0,0.0,82.0,1598.0,1615.4999999999955,107050.0,81.0,66.59307384490967,Wednesday,N,N,113,60,238,73,,,
2020-04-11,811.0,0.0,0.0,63.0,1112.0,1566.9999999999982,74470.0,84.0,65.37759494781494,Saturday,Y,N,123,69,268,106,,,
2020-04-13,867.0,23.0,10.0,58.0,3864.0,1806.5999999999988,259980.0,76.0,0.0,Monday,N,N,80,83,248,71,,,
2020-04-15,830.0,17.0,7.0,86.0,3531.0,1769.8499999999963,234130.0,82.0,67.57303524017334,Wednesday,N,N,103,68,174,155,,,
2020-04-20,746.0,26.0,7.0,117.0,2952.0,1946.4599999999962,181340.0,86.0,65.88740062713623,Monday,N,N,115,63,221,145,,,
2020-04-22,841.0,0.0,0.0,199.0,4308.0,1887.7999999999884,288610.0,71.0,66.46882724761963,Wednesday,N,N,59,52,235,54,,,
2020-04-23,843.0,0.0,0.0,85.0,1665.0,1621.799999999994,111540.0,84.0,65.92757892608643,Thursday,N,N,104,77,249,82,,,
2020-04-29,850.0,0.0,0.0,77.0,1294.0,1596.2999999999977,86610.0,82.0,64.36553573608398,Wednesday,N,N,122,71,219,101,,,
2020-05-05,870.0,37.0,15.0,139.0,9340.0,2033.89999999999,643080.0,70.0,67.45938014984131,Tuesday,N,N,101,50,158,70,,,
2020-05-06,948.0,32.0,5.0,70.0,2141.0,1873.130000000002,134740.0,72.0,67.05609703063965,Wednesday,N,N,79,58,152,96,,,
2019-10-10,815.0,0.0,0.0,175.0,4109.0,1868.9999999999866,275300.0,86.0,74.23785018920898,Thursday,N,N,102,35,209,104,,,
2019-10-10,815.0,0.0,0.0,175.0,4109.0,1868.9999999999866,275300.0,86.0,74.23785018920898,Thursday,N,N,102,35,209,104,,,
2019-10-11,904.0,0.0,0.0,169.0,3701.0,1873.3999999999846,248050.0,76.0,73.72789001464844,Friday,N,N,50,34,191,92,,,
2019-10-12,726.0,8.0,2.0,120.0,2133.0,1760.4999999999843,142800.0,90.0,74.0014476776123,Saturday,Y,N,111,53,261,159,,,
2019-10-13,818.0,0.0,0.0,120.0,2796.0,1715.8999999999912,187470.0,87.0,73.29516506195068,Sunday,Y,N,87,45,263,107,,,
2019-10-14,795.0,0.0,0.0,120.0,2879.0,1740.39999999999,192910.0,85.0,72.48334789276123,Monday,N,N,89,65,265,106,,,
2019-10-15,746.0,6.0,7.0,220.0,5101.0,2090.18999999999,341900.0,81.0,71.66232681274414,Tuesday,N,N,42,61,278,80,,,
2019-10-16,718.0,0.0,0.0,140.0,2803.0,1747.5999999999901,187750.0,89.0,70.5982837677002,Wednesday,N,N,110,44,300,128,,,
2019-10-17,750.0,0.0,0.0,96.0,2277.0,1654.5999999999883,152520.0,87.0,69.33941459655762,Thursday,N,N,104,82,278,130,,,
2019-10-18,793.0,0.0,0.0,196.0,4070.0,1941.6999999999857,272790.0,79.0,66.40734958648682,Friday,N,N,87,54,234,76,,,
2019-10-19,709.0,0.0,0.0,215.0,5672.0,1951.6999999999837,377370.0,83.0,63.05825614929199,Saturday,Y,N,74,67,284,91,,,
2019-10-20,705.0,0.0,0.0,234.0,3423.0,1969.3999999999814,226850.0,83.0,65.46301174163818,Sunday,Y,N,146,50,195,110,,,
2019-10-21,624.0,0.0,0.0,190.0,4075.0,1963.0999999999894,273110.0,81.0,64.43890857696533,Monday,N,N,99,131,268,128,,,
2019-10-23,860.0,0.0,0.0,182.0,4999.0,1949.8899999999887,335110.0,73.0,65.11332607269287,Wednesday,N,N,62,55,202,79,,,
2019-10-24,879.0,0.0,0.0,112.0,2843.0,1760.7999999999925,190600.0,82.0,65.92297267913818,Thursday,N,N,83,27,222,117,,,
2019-10-26,819.0,0.0,0.0,101.0,1801.0,1696.199999999993,120740.0,83.0,65.50118350982666,Saturday,Y,N,110,46,243,121,,,
2019-09-03,776.0,0.0,0.0,184.0,5742.0,1935.369999999984,381600.0,82.0,67.66646575927734,Tuesday,N,N,86,46,213,135,,,
2019-09-04,646.0,30.0,73.0,246.0,9155.0,2547.2199999999893,609720.0,76.0,70.62310886383057,Wednesday,N,N,77,55,201,112,,,
2019-09-05,821.0,4.0,4.0,203.0,4657.0,2018.7699999999857,309180.0,75.0,71.1967134475708,Thursday,N,N,49,39,255,65,,,
2019-09-06,769.0,0.0,0.0,156.0,4925.0,1845.6499999999862,330240.0,84.0,70.11328220367432,Friday,N,N,101,75,212,127,,,
2019-09-07,697.0,0.0,0.0,184.0,3646.0,1854.5999999999885,244350.0,91.0,68.60319805145264,Saturday,Y,N,120,63,230,146,,,
2019-09-08,650.0,0.0,0.0,112.0,2388.0,1719.7199999999907,160020.0,90.0,66.81699180603027,Sunday,Y,N,92,69,367,150,,,
2019-09-09,820.0,52.0,3.0,166.0,5456.0,2287.2299999999927,354290.0,79.0,64.36323642730713,Monday,N,N,48,67,217,67,,,
2019-09-10,787.0,0.0,0.0,166.0,4664.0,1884.1999999999925,312820.0,83.0,65.3804063796997,Tuesday,N,N,81,40,232,134,,,
2019-09-10,787.0,0.0,0.0,166.0,4664.0,1884.1999999999925,312820.0,83.0,65.3804063796997,Tuesday,N,N,81,40,232,134,,,
2019-09-11,791.0,45.0,17.0,159.0,6507.0,2277.549999999987,417510.0,80.0,64.63045692443848,Wednesday,N,N,67,39,201,121,,,
2019-09-12,806.0,0.0,0.0,136.0,4351.0,1827.979999999991,291920.0,87.0,63.989784240722656,Thursday,N,N,81,46,243,128,,,
2019-09-13,717.0,60.0,13.0,226.0,8149.0,2675.480000000005,517800.0,78.0,65.87373542785645,Friday,N,N,79,46,189,110,,,
2019-09-14,621.0,5.0,9.0,278.0,8621.0,2235.2499999999877,578170.0,77.0,67.23749351501465,Saturday,Y,N,61,54,334,78,,,
2019-09-15,512.0,5.0,6.0,328.0,12567.0,2364.709999999989,839700.0,90.0,65.56736087799072,Sunday,Y,Y,89,61,296,143,,,
2019-09-16,847.0,36.0,14.0,154.0,5997.0,2180.529999999989,388090.0,78.0,67.9407205581665,Monday,N,N,72,28,196,93,,,
2019-09-18,783.0,48.0,13.0,169.0,7075.0,2454.519999999999,459110.0,85.0,65.51244640350342,Wednesday,N,N,80,21,189,137,,,
2019-09-19,789.0,0.0,0.0,244.0,5044.0,2153.4599999999928,338220.0,76.0,66.10079097747803,Thursday,N,N,73,38,214,82,,,
2019-09-20,702.0,58.0,19.0,260.0,11058.0,2728.520000000002,714720.0,77.0,69.18310928344727,Friday,N,Y,73,39,159,130,,,
2019-09-21,702.0,0.0,0.0,240.0,5698.0,2066.589999999989,382050.0,85.0,69.48864650726318,Saturday,Y,N,135,51,184,128,,,
2019-09-22,503.0,0.0,0.0,300.0,6812.0,2129.3099999999845,456530.0,93.0,69.16109085083008,Sunday,Y,N,165,63,277,132,,,
2019-09-23,766.0,42.0,7.0,150.0,4983.0,2143.32999999998,323360.0,81.0,68.88927555084229,Monday,N,N,98,55,223,99,,,
2019-09-24,822.0,0.0,0.0,142.0,3286.0,1807.2799999999877,220270.0,82.0,66.31059646606445,Tuesday,N,N,80,64,239,93,,,
2019-09-25,650.0,43.0,8.0,188.0,5825.0,2363.76,376190.0,77.0,67.92982578277588,Wednesday,N,N,88,116,220,127,,,
2019-09-26,872.0,0.0,0.0,172.0,4139.0,1890.109999999986,277500.0,77.0,69.68039226531982,Thursday,N,N,80,30,186,100,,,
2019-09-27,742.0,0.0,0.0,196.0,5502.0,1959.8999999999944,368840.0,83.0,68.98909854888916,Friday,N,N,96,64,214,128,,,
2019-09-28,550.0,2.0,6.0,245.0,7797.0,2087.419999999989,522980.0,90.0,68.72172832489014,Saturday,Y,N,127,52,270,188,,,
2019-09-29,778.0,7.0,6.0,91.0,3967.0,1744.6499999999949,266160.0,87.0,67.97973728179932,Sunday,Y,N,98,71,283,106,,,
